,np_size_max__nm_,np_synthesis,np_size_min__nm_,np_size_avg__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,Solvent_for_extract,time_set__hours_,shape,coating,Valance_electron,prim_specific_habitat,chi0v,amw,min_Incub_period__h,K00058,max_Incub_period__h,K12472,mdr,K07009,K17939,K14198,K07486,MIC_NP___g_mL_,bacteria,strain,bacteria_strain
12,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,1,0,1,0,120.0,Staphylococcus aureus,NCIM 5022,Staphylococcus aureus NCIM 5022
13,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,0,0,0,0,160.0,Staphylococcus aureus,NCIM 2079,Staphylococcus aureus NCIM 2079
14,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,1,0,1,0,160.0,Staphylococcus aureus,NCIM 5021,Staphylococcus aureus NCIM 5021
15,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,1,0,1,0,160.0,Staphylococcus aureus,NCIM 5022,Staphylococcus aureus NCIM 5022
16,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.243163121016122,63.546,6.0,1,18,0,0,0,0,0,0,20.0,Bacillus subtilis,MTCC 441,Bacillus subtilis MTCC 441
17,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.243163121016122,63.546,6.0,1,18,0,0,0,0,0,0,40.0,Bacillus subtilis,MTCC 441,Bacillus subtilis MTCC 441
18,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,6.0,1,18,0,0,0,0,0,0,140.0,Escherichia coli,MTCC 443,Escherichia coli MTCC 443
19,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,6.0,1,24,0,0,0,0,0,0,220.0,Escherichia coli,MTCC 739,Escherichia coli MTCC 739
20,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,1.5,1,24,0,0,0,0,0,0,200.0,Escherichia coli,MTCC 1302,Escherichia coli MTCC 1302
21,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,1.5,1,24,0,0,0,0,0,0,280.0,Escherichia coli,MTCC 1687,Escherichia coli MTCC 1687
22,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,6.0,1,18,0,0,0,0,0,0,160.0,Escherichia coli,MTCC 443,Escherichia coli MTCC 443
23,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,6.0,1,24,0,0,0,0,0,0,260.0,Escherichia coli,MTCC 739,Escherichia coli MTCC 739
24,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,1.5,1,24,0,0,0,0,0,0,220.0,Escherichia coli,MTCC 1302,Escherichia coli MTCC 1302
25,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.243163121016122,63.546,1.5,1,24,0,0,0,0,0,0,300.0,Escherichia coli,MTCC 1687,Escherichia coli MTCC 1687
26,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.243163121016122,63.546,4.0,1,24,1,0,0,0,0,0,140.0,Staphylococcus aureus,NCIM 2079,Staphylococcus aureus NCIM 2079
27,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.243163121016122,63.546,4.0,1,24,1,0,1,0,1,0,140.0,Staphylococcus aureus,NCIM 5021,Staphylococcus aureus NCIM 5021
28,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.243163121016122,63.546,4.0,1,24,1,0,1,0,1,0,140.0,Staphylococcus aureus,NCIM 5022,Staphylococcus aureus NCIM 5022
29,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.243163121016122,63.546,4.0,1,24,1,0,0,0,0,0,160.0,Staphylococcus aureus,NCIM 2079,Staphylococcus aureus NCIM 2079
30,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.243163121016122,63.546,4.0,1,24,1,0,1,0,1,0,160.0,Staphylococcus aureus,NCIM 5021,Staphylococcus aureus NCIM 5021
31,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.243163121016122,63.546,4.0,1,24,1,0,1,0,1,0,160.0,Staphylococcus aureus,NCIM 5022,Staphylococcus aureus NCIM 5022
32,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,lungs,1.7837651700316897,107.868,3.0,1,24,0,0,0,0,0,1,128.0,Klebsiella pneumoniae,ATCC 13883,Klebsiella pneumoniae ATCC 13883
33,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,1,0,0,16.0,Pseudomonas aeruginosa,ATCC 27853,Pseudomonas aeruginosa ATCC 27853
34,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,skin,1.7837651700316897,107.868,6.0,1,24,0,0,1,0,0,0,256.0,Staphylococcus epidermidis,ATCC 12228,Staphylococcus epidermidis ATCC 12228
35,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,soil,1.7837651700316897,107.868,8.0,1,48,0,0,0,0,0,0,32.0,Acinetobacter baumannii,BAA-747,Acinetobacter baumannii BAA-747
36,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,4,0,0,0,0,0,0,64.0,Escherichia coli,ATCC 25922,Escherichia coli ATCC 25922
37,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1,48,1,0,1,0,1,0,256.0,Staphylococcus aureus,ATCC 29213,Staphylococcus aureus ATCC 29213
38,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,bladder,1.7837651700316897,107.868,6.0,1,24,0,0,1,0,0,0,256.0,Staphylococcus saprophyticus,ATCC 49453,Staphylococcus saprophyticus ATCC 49453
39,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0,11,skin,1.7837651700316897,107.868,6.0,1,48,0,0,1,0,0,0,256.0,Staphylococcus sciuri,ATCC 29061,Staphylococcus sciuri ATCC 29061
40,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,1,0,0,0.625,Pseudomonas aeruginosa,ATCC 27853,Pseudomonas aeruginosa ATCC 27853
41,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,1,0,0,16.0,Pseudomonas aeruginosa,ATCC 27853,Pseudomonas aeruginosa ATCC 27853
42,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1,48,1,0,1,0,1,0,256.0,Staphylococcus aureus,ATCC 29213,Staphylococcus aureus ATCC 29213
43,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,6.0,1,24,0,0,1,0,0,0,256.0,Staphylococcus epidermidis,ATCC 12228,Staphylococcus epidermidis ATCC 12228
44,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,bladder,1.7837651700316897,107.868,6.0,1,24,0,0,1,0,0,0,256.0,Staphylococcus saprophyticus,ATCC 49453,Staphylococcus saprophyticus ATCC 49453
45,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,6.0,1,48,0,0,1,0,0,0,256.0,Staphylococcus sciuri,ATCC 29061,Staphylococcus sciuri ATCC 29061
46,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,soil,1.7837651700316897,107.868,8.0,1,48,0,0,0,0,0,0,32.0,Acinetobacter baumannii,BAA-747,Acinetobacter baumannii BAA-747
47,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,4,0,0,0,0,0,0,64.0,Escherichia coli,ATCC 25922,Escherichia coli ATCC 25922
48,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0,11,lungs,1.7837651700316897,107.868,3.0,1,24,0,0,0,0,0,1,128.0,Klebsiella pneumoniae,ATCC 13883,Klebsiella pneumoniae ATCC 13883
49,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1,11,guts,1.7837651700316897,107.868,1.5,1,4,0,0,0,0,0,0,64.0,Escherichia coli,ATCC 25922,Escherichia coli ATCC 25922
50,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1,11,lungs,1.7837651700316897,107.868,3.0,1,24,0,0,0,0,0,1,128.0,Klebsiella pneumoniae,ATCC 13883,Klebsiella pneumoniae ATCC 13883
51,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,1,0,0,16.0,Pseudomonas aeruginosa,ATCC 27853,Pseudomonas aeruginosa ATCC 27853
52,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1,11,soil,1.7837651700316897,107.868,8.0,1,48,0,0,0,0,0,0,32.0,Acinetobacter baumannii,BAA-747,Acinetobacter baumannii BAA-747
53,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1,11,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1,48,1,0,1,0,1,0,256.0,Staphylococcus aureus,ATCC 29213,Staphylococcus aureus ATCC 29213
54,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1,11,skin,1.7837651700316897,107.868,6.0,1,24,0,0,1,0,0,0,256.0,Staphylococcus epidermidis,ATCC 12228,Staphylococcus epidermidis ATCC 12228
55,60.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),60.0,60.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,1,2.5,Pseudomonas aeruginosa,PAO1,Pseudomonas aeruginosa PAO1
56,10.0,green_synthesis,10.0,10.0,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,0.234,Pseudomonas aeruginosa,None,Pseudomonas aeruginosa None
57,10.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),10.0,10.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,1,234.0,Pseudomonas aeruginosa,PAO1,Pseudomonas aeruginosa PAO1
58,20.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),20.0,20.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,1,625.0,Pseudomonas aeruginosa,PAO1,Pseudomonas aeruginosa PAO1
59,40.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),40.0,40.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,1,1.25,Pseudomonas aeruginosa,PAO1,Pseudomonas aeruginosa PAO1
60,100.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),100.0,100.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,1,7.5,Pseudomonas aeruginosa,PAO1,Pseudomonas aeruginosa PAO1
61,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,1,0.8,Escherichia coli,None,Escherichia coli None
62,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,1,3.4,Escherichia coli,None,Escherichia coli None
63,30.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,1,25.0,Escherichia coli,None,Escherichia coli None
64,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,lungs,1.7837651700316897,107.868,3.0,1,24,0,0,0,0,0,0,3.4,Klebsiella pneumoniae,None,Klebsiella pneumoniae None
65,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,lungs,1.7837651700316897,107.868,3.0,1,24,0,0,0,0,0,0,6.8,Klebsiella pneumoniae,None,Klebsiella pneumoniae None
66,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,1,0,0,0,1,0.8,Escherichia coli,None,Escherichia coli None
67,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,1,0,0,0,1,3.4,Escherichia coli,None,Escherichia coli None
68,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,lungs,1.7837651700316897,107.868,3.0,1,24,0,1,0,0,0,0,3.4,Klebsiella pneumoniae,None,Klebsiella pneumoniae None
69,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0,11,lungs,1.7837651700316897,107.868,3.0,1,24,0,1,0,0,0,0,6.8,Klebsiella pneumoniae,None,Klebsiella pneumoniae None
70,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.7837651700316897,107.868,4.0,1,16,0,0,0,0,0,0,25.0,Bacillus cereus,ATCC 13061,Bacillus cereus ATCC 13061
71,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.7837651700316897,107.868,4.0,1,16,0,0,0,0,0,0,50.0,Bacillus cereus,ATCC 13061,Bacillus cereus ATCC 13061
72,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,0,50.0,Escherichia coli,ATCC 43890,Escherichia coli ATCC 43890
73,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,0,100.0,Escherichia coli,ATCC 43890,Escherichia coli ATCC 43890
74,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.7837651700316897,107.868,16.0,1,48,0,0,0,0,0,0,25.0,Listeria monocytogenes,ATCC 19115,Listeria monocytogenes ATCC 19115
75,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.7837651700316897,107.868,16.0,1,48,0,0,0,0,0,0,50.0,Listeria monocytogenes,ATCC 19115,Listeria monocytogenes ATCC 19115
76,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,meat,1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,50.0,Salmonella enterica subsp. enterica serovar Typhimurium   ,ATCC 43174,Salmonella enterica subsp. enterica serovar Typhimurium    ATCC 43174
77,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,meat,1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,100.0,Salmonella enterica subsp. enterica serovar Typhimurium   ,ATCC 43174,Salmonella enterica subsp. enterica serovar Typhimurium    ATCC 43174
78,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,0,0,0,0,12.5,Staphylococcus aureus,ATCC 49444,Staphylococcus aureus ATCC 49444
79,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,0,0,0,0,25.0,Staphylococcus aureus,ATCC 49444,Staphylococcus aureus ATCC 49444
80,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,1.06,Pseudomonas aeruginosa,Pa14,Pseudomonas aeruginosa Pa14
81,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,1.06,Pseudomonas aeruginosa,AC12A,Pseudomonas aeruginosa AC12A
82,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,4.25,Pseudomonas aeruginosa,DIN1,Pseudomonas aeruginosa DIN1
83,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MBC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,2.125,Pseudomonas aeruginosa,Pa14,Pseudomonas aeruginosa Pa14
84,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MBC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,4.25,Pseudomonas aeruginosa,DIN1,Pseudomonas aeruginosa DIN1
85,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MBC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1,12,0,0,0,0,0,0,2.125,Pseudomonas aeruginosa,AC12A,Pseudomonas aeruginosa AC12A
86,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,0,0,0,0,8.5,Staphylococcus aureus,Sa1,Staphylococcus aureus Sa1
87,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,0,0,0,0,8.5,Staphylococcus aureus,Sa2,Staphylococcus aureus Sa2
88,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,0,0,0,0,8.5,Staphylococcus aureus,Sa3,Staphylococcus aureus Sa3
