np_size_max__nm_,np_synthesis,np_size_min__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,np_size_avg__nm_,Solvent_for_extract,amw,time_set__hours_,bacteria,Valance_electron,Order,avg_Incub_period__h,prim_specific_habitat,Genus,sec_habitat,coating,shape,mdr,max_Incub_period__h,min_Incub_period__h,common_environment,MIC_NP___g_mL_
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,2.995732273553991
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,3.6888794541139363
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,4.941642422609304
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.393627546352362
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.298317366548036
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.634789603169249
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,5.075173815233827
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.560681631015528
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.393627546352362
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.703782474656201
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.941642422609304
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.941642422609304
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MIC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.941642422609304
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,MBC,48.07498601007275,1139.4714854111403,9.25,water,63.546,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,3.6888794541139363
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.19295685089021
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.941642422609304
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,3.6888794541139363
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,4.0943445622221
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.393627546352362
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.19295685089021
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,4.0943445622221
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,3.6888794541139363
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.19295685089021
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.941642422609304
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Klebsiella pneumoniae,11,Enterobacterales,12,lungs,Klebsiella,"clinical samples (blood, wound swabs)",0,spherical,0,24,3.0,nosocomial,4.852030263919617
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,2.772588722239781
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Staphylococcus epidermidis,11,Bacillales,12,skin,Staphylococcus,medical surfaces,0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Acinetobacter baumannii,11,Moraxellales,18,soil,Acinetobacter,nosocomial,0,spherical,0,48,8.0,nature,3.4657359027997265
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Escherichia coli,11,Enterobacterales,2,guts,Escherichia,mouth,0,spherical,0,4,1.5,human,4.1588830833596715
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Staphylococcus aureus,11,Bacillales,24,"clinical samples (blood, sputum)",Staphylococcus,skin,0,spherical,0,48,18.0,nosocomial,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Staphylococcus saprophyticus,11,Bacillales,12,bladder,Staphylococcus,clinical samples (urine),0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,18.0,Staphylococcus sciuri,11,Bacillales,24,skin,Mammaliicoccus,guts,0,spherical,0,48,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,-0.4700036292457356
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,2.772588722239781
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,2.772588722239781
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,2.772588722239781
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,2.772588722239781
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,2.772588722239781
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Pseudomonas aeruginosa,11,Pseudomonadales,8,"clinical samples (sputum, urine)",Pseudomonas,clinical samples (wound swabs),0,spherical,0,12,4.0,nosocomial,2.772588722239781
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,24,"clinical samples (blood, sputum)",Staphylococcus,skin,0,spherical,0,48,18.0,nosocomial,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,24,"clinical samples (blood, sputum)",Staphylococcus,skin,0,spherical,0,48,18.0,nosocomial,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,24,"clinical samples (blood, sputum)",Staphylococcus,skin,0,spherical,0,48,18.0,nosocomial,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,24,"clinical samples (blood, sputum)",Staphylococcus,skin,0,spherical,0,48,18.0,nosocomial,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,24,"clinical samples (blood, sputum)",Staphylococcus,skin,0,spherical,0,48,18.0,nosocomial,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,24,"clinical samples (blood, sputum)",Staphylococcus,skin,0,spherical,0,48,18.0,nosocomial,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus epidermidis,11,Bacillales,12,skin,Staphylococcus,medical surfaces,0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus epidermidis,11,Bacillales,12,skin,Staphylococcus,medical surfaces,0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus epidermidis,11,Bacillales,12,skin,Staphylococcus,medical surfaces,0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus epidermidis,11,Bacillales,12,skin,Staphylococcus,medical surfaces,0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus epidermidis,11,Bacillales,12,skin,Staphylococcus,medical surfaces,0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus epidermidis,11,Bacillales,12,skin,Staphylococcus,medical surfaces,0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus saprophyticus,11,Bacillales,12,bladder,Staphylococcus,clinical samples (urine),0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus saprophyticus,11,Bacillales,12,bladder,Staphylococcus,clinical samples (urine),0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus saprophyticus,11,Bacillales,12,bladder,Staphylococcus,clinical samples (urine),0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus saprophyticus,11,Bacillales,12,bladder,Staphylococcus,clinical samples (urine),0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus saprophyticus,11,Bacillales,12,bladder,Staphylococcus,clinical samples (urine),0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus saprophyticus,11,Bacillales,12,bladder,Staphylococcus,clinical samples (urine),0,spherical,0,24,6.0,human,5.545177444479562
25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,MIC,37.0,1139.4714854111403,20.0,water,107.868,24.0,Staphylococcus sciuri,11,Bacillales,24,skin,Mammaliicoccus,guts,0,spherical,0,48,6.0,human,5.545177444479562
