NP,Bacteria,ATCC(species),NP_Synthesis,Drug,Drug_dose (μg/disk),NP_concentration (μg/disk),NP size_min (nm),NP size_max (nm),NP size_avg (nm),shape,method,ZOI_drug (mm),ZOI_NP,ZOI_drug_NP,fold_increase_in_antibacterial_activity (%),Zeta_potential (mV),MDR,FIC,Effect,ChEBI ID,reference,doi,time (hr),Coat with antimicrobial peptide,combined MIC,peptide MIC,synergy index( Vantibiotic+AgNPs/(Vantibiotic + VAgNPs - Vantibiotic X VAgNPs).)
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Mupirocin,,,5,80,60,spherical,disc_diffusion,0,21,24,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Gentamicin,,,5,80,60,spherical,disc_diffusion,21,13,32,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Neomycin,,,5,80,60,spherical,disc_diffusion,25,15,34,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Tetracycline,,,5,80,60,spherical,disc_diffusion,20,16,22,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Vancomycin,,,5,80,60,spherical,disc_diffusion,18,18,21,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Salmonella enterica,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,4,10,8,spherical,MIC,1,12.5,1,,,,2,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,10.1016/j.tvjl.2015.10.032,,,,,
Ag,Staphylococcus aureus,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,4,10,8,spherical,MIC,2,25,0.5,,,,0.8,A,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Escherichia coli,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,4,10,8,spherical,MIC,32,6.3,32,,,R,2,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Actinobacillus pleuropneumoniae,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,4,10,8,spherical,MIC,32,25,8,,,R,0.6,A,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Pasteurella Multocida,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,4,10,8,spherical,MIC,0.25,100,0.125,,,,2,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Streptococcus uberis,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,4,10,8,spherical,MIC,0.25,6.3,0.25,,,,1,A,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Salmonella enterica,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,15,30,28,spherical,MIC,1,25,1,,,,2,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Staphylococcus aureus,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,15,30,28,spherical,MIC,2,50,1,,,,0.8,A,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Escherichia coli,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,15,30,28,spherical,MIC,32,25,32,,,R,2,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Actinobacillus pleuropneumoniae,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,15,30,28,spherical,MIC,32,50,8,,,R,0.4,S,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Pasteurella Multocida,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,15,30,28,spherical,MIC,0.25,50,0.25,,,,2,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Streptococcus uberis,,chem_synthesis_reduction_by_D_maltose,Amoxicillin,,,15,30,28,spherical,MIC,0.25,6.3,0.25,,,,2,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Salmonella enterica,,chem_synthesis_reduction_by_D_maltose,penicillin G,,,4,10,8,spherical,MIC,2,12.5,1,,,,1.5,I,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
Ag,Staphylococcus aureus,,chem_synthesis_reduction_by_D_maltose,penicillin G,,,4,10,8,spherical,MIC,1,25,0.125,,,,0.6,A,,https://reader.elsevier.com/reader/sd/pii/S1090023315004414?token=52741D736E7B9FF4FAD4AC0F7FA9FE1E9D43C4224EFD493E71D844F61B2D3661E5172D58EEA944037F5AECF86CF9B588&originRegion=eu-west-1&originCreation=20221130093039,,,,,,
