,np_size_min__nm_,np_size_avg__nm_,np_size_max__nm_,Source_origin,method,Capping_type,time_set__hours_,Solvent_for_extract,shape,Template_type,Bio_component_class,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,mdr,prim_specific_habitat,lipinskiHBA,CrippenClogP,max_Incub_period__h,hallKierAlpha,amw,avg_Incub_period__h,K07123,kappa1,K03629,min_Incub_period__h,K07050,K20345,NumHBA,sec_habitat,bac_type,K23945,common_environment,K01191,K13566,K07484,K25602,K11206,K07486,K12942,K01153,K02027,K00849,K01878,K00432,K01026,K10844,K03741,K00252,K01190,K03703,K09936,K07485,K07778,K16148,MIC_NP___g_mL_
17,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,soil,0.0,-0.0025,18.0,0.5194805194805194,63.546,12.0,0.0,1.5194805194805197,1.0,6.0,0.0,0.0,0.0,plants,non-pathogenic,0.0,nature,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.688879454113936
18,6.86,9.25,16.53,lab,MIC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,18.0,0.5194805194805194,63.546,12.0,0.0,1.5194805194805197,1.0,6.0,0.0,0.0,0.0,"clinical samples (blood, stool, urine)",pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.941642422609304
19,6.86,9.25,16.53,lab,MIC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.5194805194805194,63.546,12.0,0.0,1.5194805194805197,1.0,6.0,0.0,0.0,0.0,"clinical samples (blood, stool, urine)",pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.393627546352362
20,6.86,9.25,16.53,lab,MIC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.5194805194805194,63.546,4.0,0.0,1.5194805194805197,1.0,1.5,0.0,0.0,0.0,mouth,opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.298317366548036
21,6.86,9.25,16.53,lab,MIC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.5194805194805194,63.546,4.0,0.0,1.5194805194805197,1.0,1.5,0.0,0.0,0.0,mouth,opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.634789603169249
22,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,18.0,0.5194805194805194,63.546,12.0,0.0,1.5194805194805197,1.0,6.0,0.0,0.0,0.0,"clinical samples (blood, stool, urine)",pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.075173815233827
23,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.5194805194805194,63.546,12.0,0.0,1.5194805194805197,1.0,6.0,0.0,0.0,0.0,"clinical samples (blood, stool, urine)",pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.560681631015528
24,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.5194805194805194,63.546,4.0,0.0,1.5194805194805197,1.0,1.5,0.0,0.0,0.0,mouth,opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.393627546352362
25,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.5194805194805194,63.546,4.0,0.0,1.5194805194805197,1.0,1.5,0.0,0.0,0.0,mouth,opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.703782474656201
26,6.86,9.25,16.53,lab,MIC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.5194805194805194,63.546,8.0,0.0,1.5194805194805197,1.0,4.0,0.0,0.0,0.0,nasopharynx,pathogenic,0.0,human,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.941642422609304
27,6.86,9.25,16.53,lab,MIC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.5194805194805194,63.546,8.0,0.0,1.5194805194805197,1.0,4.0,0.0,0.0,0.0,nasopharynx,pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.941642422609304
28,6.86,9.25,16.53,lab,MIC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.5194805194805194,63.546,8.0,0.0,1.5194805194805197,1.0,4.0,0.0,0.0,0.0,nasopharynx,pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.941642422609304
29,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.5194805194805194,63.546,8.0,0.0,1.5194805194805197,1.0,4.0,0.0,0.0,0.0,nasopharynx,pathogenic,0.0,human,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.075173815233827
30,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.5194805194805194,63.546,8.0,0.0,1.5194805194805197,1.0,4.0,0.0,0.0,0.0,nasopharynx,pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.075173815233827
31,6.86,9.25,16.53,lab,MBC,none,24.0,water,spherical,none,,1.243163121016122,strong,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.5194805194805194,63.546,8.0,0.0,1.5194805194805197,1.0,4.0,0.0,0.0,0.0,nasopharynx,pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.075173815233827
32,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,lungs,0.0,-0.0025,24.0,0.7402597402597404,107.868,12.0,0.0,1.7402597402597404,1.0,3.0,0.0,0.0,0.0,"clinical samples (blood, wound swabs)",opportunistic pathogen,0.0,nosocomial,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.852030263919617
33,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,"clinical samples (sputum, urine)",0.0,-0.0025,12.0,0.7402597402597404,107.868,8.0,0.0,1.7402597402597404,0.0,4.0,0.0,0.0,0.0,clinical samples (wound swabs),opportunistic pathogen,0.0,nosocomial,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.772588722239781
34,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.7402597402597404,107.868,12.0,0.0,1.7402597402597404,1.0,6.0,0.0,0.0,0.0,medical surfaces,non-pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.545177444479562
35,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,soil,0.0,-0.0025,48.0,0.7402597402597404,107.868,18.0,0.0,1.7402597402597404,1.0,8.0,0.0,0.0,0.0,nosocomial,pathogenic,0.0,nature,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.4657359027997265
36,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,4.0,0.7402597402597404,107.868,2.0,0.0,1.7402597402597404,1.0,1.5,0.0,0.0,0.0,mouth,non-pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.158883083359672
37,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,"clinical samples (blood, sputum)",0.0,-0.0025,48.0,0.7402597402597404,107.868,24.0,0.0,1.7402597402597404,1.0,18.0,0.0,0.0,0.0,skin,opportunistic pathogen,0.0,nosocomial,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.545177444479562
38,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,bladder,0.0,-0.0025,24.0,0.7402597402597404,107.868,12.0,0.0,1.7402597402597404,1.0,6.0,0.0,0.0,0.0,clinical samples (urine),opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.545177444479562
39,15.0,20.0,25.0,commercial,MIC,small-molecule,18.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,48.0,0.7402597402597404,107.868,24.0,0.0,1.7402597402597404,1.0,6.0,0.0,0.0,0.0,guts,opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.545177444479562
40,15.0,20.0,25.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,"clinical samples (sputum, urine)",0.0,-0.0025,12.0,0.7402597402597404,107.868,8.0,0.0,1.7402597402597404,0.0,4.0,0.0,0.0,0.0,clinical samples (wound swabs),opportunistic pathogen,0.0,nosocomial,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.4700036292457356
41,15.0,20.0,25.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,"clinical samples (sputum, urine)",0.0,-0.0025,12.0,0.7402597402597404,107.868,8.0,0.0,1.7402597402597404,0.0,4.0,0.0,0.0,0.0,clinical samples (wound swabs),opportunistic pathogen,0.0,nosocomial,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.772588722239781
42,15.0,20.0,25.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,"clinical samples (blood, sputum)",0.0,-0.0025,48.0,0.7402597402597404,107.868,24.0,0.0,1.7402597402597404,1.0,18.0,0.0,0.0,0.0,skin,opportunistic pathogen,0.0,nosocomial,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.545177444479562
43,15.0,20.0,25.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,24.0,0.7402597402597404,107.868,12.0,0.0,1.7402597402597404,1.0,6.0,0.0,0.0,0.0,medical surfaces,non-pathogenic,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.545177444479562
44,15.0,20.0,25.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,bladder,0.0,-0.0025,24.0,0.7402597402597404,107.868,12.0,0.0,1.7402597402597404,1.0,6.0,0.0,0.0,0.0,clinical samples (urine),opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.545177444479562
45,15.0,20.0,25.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,skin,0.0,-0.0025,48.0,0.7402597402597404,107.868,24.0,0.0,1.7402597402597404,1.0,6.0,0.0,0.0,0.0,guts,opportunistic pathogen,0.0,human,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.545177444479562
62,28.0,28.0,28.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.7402597402597404,107.868,4.0,0.0,1.7402597402597404,1.0,1.5,0.0,0.0,0.0,mouth,opportunistic pathogen,0.0,human,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.2231435513142097
63,28.0,28.0,28.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.7402597402597404,107.868,4.0,0.0,1.7402597402597404,1.0,1.5,0.0,0.0,0.0,mouth,opportunistic pathogen,0.0,human,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.2237754316221157
64,15.0,28.0,30.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,guts,0.0,-0.0025,24.0,0.7402597402597404,107.868,4.0,0.0,1.7402597402597404,1.0,1.5,0.0,0.0,0.0,mouth,opportunistic pathogen,0.0,human,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.218875824868201
65,28.0,28.0,28.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,lungs,0.0,-0.0025,24.0,0.7402597402597404,107.868,12.0,0.0,1.7402597402597404,1.0,3.0,0.0,0.0,0.0,"clinical samples (blood, wound swabs)",opportunistic pathogen,0.0,nosocomial,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.2237754316221157
66,28.0,28.0,28.0,commercial,MIC,small-molecule,24.0,water,spherical,none,,1.7837651700316897,medium,chemical,0.0,11.0,0.0,0.0,lungs,0.0,-0.0025,24.0,0.7402597402597404,107.868,12.0,0.0,1.7402597402597404,1.0,3.0,0.0,0.0,0.0,"clinical samples (blood, wound swabs)",opportunistic pathogen,0.0,nosocomial,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.916922612182061
